pargpnme,inctyp,derinc,derinclb,forcen,derincmul,dermthd,splitthresh,splitreldiff,splitaction
chd_conf_headgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mbr_cond_condgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
influx_cond_condgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
outflux_cond_condgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
drn_riv_cond_headgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
drn_riv_condgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer1pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer6pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rcharechargepp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer4pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer5pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer7pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
chd_pw_headgr,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer8pp,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer8cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer7cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer5cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer6cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer2cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer1cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer3cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
npfklayer4cn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
outflux_cond_condcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
influx_cond_condcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
rcharechargecn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
mbr_cond_condcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
drn_riv_cond_headcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
drn_riv_condcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
chd_pw_headcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
chd_conf_headcn,relative,0.01,0.0,switch,2.0,parabolic,1e-05,0.5,smaller
